%time,field.x,field.y,field.z
1701935894795890925,-0.8910418279026249,-0.5537386261496988,0.0007624649795761161
1701935894797926957,-0.8910461872399418,-0.5537304598382004,0.0007706324394440863
1701935894800126721,-0.8910508365842135,-0.5537215925382197,0.0007794782435935602
1701935894802173931,-0.8910551633936853,-0.5537133662783098,0.0007876612242751983
1701935894804502306,-0.8910601650466525,-0.5537041038595725,0.0007968640165186393
1701935894806323358,-0.8910641577808263,-0.5536969425628641,0.0008039770303784596
1701935894808191236,-0.891068331265008,-0.5536896755919343,0.0008111908550162867
1701935894810270331,-0.8910730792890408,-0.5536816931474664,0.0008191146369104787
1701935894813598988,-0.8910808948979263,-0.5536690962285353,0.0008316638309353861
1701935894815541340,-0.8910855264909717,-0.5536617815830683,0.0008389897369196667
1701935894817547381,-0.8910902605057824,-0.5536541454948498,0.0008466648937360304
1701935894819846945,-0.8910955218638213,-0.5536452107484265,0.0008556424792318458
1701935894821676714,-0.8910995864781828,-0.5536380106721489,0.0008628338361141093
1701935894823613419,-0.8911039088702452,-0.5536304678511806,0.0008703191896687932
1701935894825451998,-0.8911081633041952,-0.5536234801424255,0.0008772435521471332
1701935894827296129,-0.8911126073123924,-0.5536166490493855,0.0008840098298683274
1701935894829399796,-0.8911179025725556,-0.5536090947019289,0.0008914745596879673
1701935894831299898,-0.8911229234467658,-0.5536025085117691,0.0008979982109246506
1701935894833056164,-0.8911277189817655,-0.5535965354190205,0.0009039571571154561
1701935894834901104,-0.8911327800085858,-0.5535902460105228,0.000910261989996201
1701935894836693188,-0.891137632496239,-0.5535840656595933,0.0009164455871098136
1701935894838547845,-0.8911426232511298,-0.5535776792070632,0.0009227858895613834
1701935894841003841,-0.8911494279221417,-0.5535695029344601,0.0009308249711520093
1701935894844661134,-0.8911604597160383,-0.5535583088005299,0.0009418022183368546
1701935894846929305,-0.8911678914959996,-0.5535519253804814,0.0009481173941606805
1701935894848961411,-0.8911747944788044,-0.553546401481279,0.0009536082321959872
1701935894850970012,-0.8911817684004916,-0.5535411073393101,0.0009588359685829835
1701935894853484762,-0.8911908515016363,-0.5535348842072837,0.0009649434227754332
1701935894855508856,-0.8911985179440065,-0.5535302202735366,0.0009695527924496445
1701935894857211102,-0.8912051323957461,-0.5535264146747044,0.0009733572660120476
1701935894859288693,-0.8912132411445013,-0.5535217906991295,0.0009779699069543085
1701935894861172705,-0.8912206447206432,-0.5535176882657278,0.0009820179007784262
1701935894863278641,-0.8912291271574111,-0.5535133453771749,0.0009862778417082448
1701935894865134110,-0.8912368400911813,-0.553509761415662,0.0009897904773966653
1701935894866923474,-0.8912444908561158,-0.5535065156105353,0.0009929678459787907
1701935894868907301,-0.8912532127736351,-0.5535031594036652,0.0009962483246073951
1701935894870883286,-0.891262153148127,-0.5535000684767623,0.0009992622440295458
1701935894873389105,-0.8912738578883797,-0.5534965139644489,0.0010027291502927693
1701935894877174486,-0.8912922476658683,-0.5534917977207612,0.001007369133429352
1701935894879338129,-0.8913030796241169,-0.5534894003320245,0.001009732721400634
1701935894881266994,-0.8913129256384116,-0.5534874710268561,0.001011608343379639
1701935894883435546,-0.8913242840716958,-0.5534856065479477,0.0010134157461262933
1701935894885741973,-0.8913366894861655,-0.5534838992392309,0.001015124605309553
1701935894887961334,-0.8913487751918198,-0.5534823433973565,0.0010167293635710854
1701935894890067095,-0.8913602526588978,-0.553480871323349,0.0010182389438092557
1701935894892253597,-0.8913722077917982,-0.5534794090314494,0.0010197098759217062
1701935894894160914,-0.8913827366406516,-0.5534782535695549,0.0010208563261670865
1701935894896245154,-0.8913944056781405,-0.5534771719904789,0.0010219081350481816
1701935894898267526,-0.8914059498519483,-0.5534763722970376,0.0010226526136646369
1701935894900686478,-0.8914201473974098,-0.5534758174978711,0.001023148546117301
1701935894902835164,-0.8914330991875983,-0.5534756281304323,0.0010233377297793993
1701935894905520050,-0.8914495077955708,-0.5534755326952088,0.0010235044767688464
1701935894909266258,-0.8914724184545726,-0.5534753496437617,0.0010238087363617103
1701935894911524980,-0.8914861883113042,-0.5534752052980836,0.0010240037307153605
1701935894913649345,-0.8914991547720121,-0.5534751014994054,0.0010241409924484348
1701935894916102128,-0.8915141991639793,-0.553475068907838,0.001024195615055355
1701935894918280554,-0.8915276682527671,-0.5534751690604692,0.0010240910076372157
1701935894920393333,-0.8915408936641944,-0.5534754535319117,0.0010237807257323388
1701935894922515518,-0.8915544060498239,-0.553475976781803,0.00102323507715231
1701935894924757471,-0.8915689065706279,-0.5534767120025337,0.0010225344820100435
1701935894927095585,-0.8915840952716436,-0.5534774787495523,0.0010218469337551718
1701935894929648608,-0.8916006133366586,-0.5534782698873358,0.0010210930342718304
1701935894932255513,-0.8903155333727214,-0.5558650472833367,-0.001363752196133313
1701935894934822388,-0.8902930901214403,-0.5559341104521072,-0.0014328974556016417
1701935894937301285,-0.8902826775133792,-0.5559676074409067,-0.0014664619663210337
1701935894939750190,-0.8902726568955119,-0.55600093832013,-0.0014998258543961484
1701935894943003215,-0.8902595903750634,-0.5560453973243441,-0.0015442681784354436
1701935894945872752,-0.8902481414239853,-0.556084646540972,-0.0015834616046015919
1701935894948491371,-0.8902376552101577,-0.5561204005715756,-0.0016191480315444762
1701935894950712416,-0.890228692076991,-0.5561506514186877,-0.001649336912017089
1701935894952980630,-0.8902194591809965,-0.5561814616518989,-0.0016800897382319142
1701935894955077959,-0.8902108642222327,-0.5562099111492697,-0.0017085055746833655
1701935894956799577,-0.8902038071967809,-0.5562332778714573,-0.001731858551553502
1701935894958911218,-0.8901952023555683,-0.5562619990683151,-0.0017605693758317332
1701935894960937955,-0.8901870155046043,-0.5562896378794986,-0.001788193801280603
1701935894962743230,-0.8901797723209258,-0.5563142944128691,-0.0018128234906433672
1701935894964521454,-0.8901726439906035,-0.5563385688663832,-0.0018370548873917706
1701935894967019894,-0.8901625479025042,-0.5563725707162832,-0.0018709741787589866
1701935894969864759,-0.8901508480269348,-0.5564110678114584,-0.001909367566669395
1701935894972612610,-0.8901393164246995,-0.5564480320398759,-0.00194626049668707
1701935894975542079,-0.8901268701379192,-0.5564873449182849,-0.0019855552306444987
1701935894977831731,-0.8901171438364311,-0.556518107340248,-0.002016320630994738
1701935894980348291,-0.890106505528885,-0.5565519517311852,-0.002050142141882471
1701935894982681757,-0.8900966256763455,-0.5565832908075705,-0.002081436287594231
1701935894984648602,-0.8900882336429917,-0.556609633844188,-0.002107733935204082
1701935894986425943,-0.8900805817602201,-0.5566333625367357,-0.002131420865183988
1701935894988325192,-0.8900723295972057,-0.5566586517285527,-0.0021566734810656175
1701935894990142152,-0.8900643838527009,-0.5566828035356085,-0.0021807977993086665
1701935894991922232,-0.8900565725653747,-0.5567064400249604,-0.0022044071824677005
1701935894993725421,-0.8900486314274278,-0.556730354339698,-0.002228286793123958
1701935894995740924,-0.8900396995522012,-0.5567570134288216,-0.002254900298017404
1701935894998135380,-0.890028981439969,-0.5567885779633458,-0.002286411022876889
1701935895000724092,-0.8900172641814231,-0.5568225800504221,-0.0023203623747991326
1701935895003560372,-0.8900042997443285,-0.5568597184782214,-0.0023574573616249026
1701935895005938664,-0.8899933517913845,-0.5568907926454408,-0.0023884975999398433
