%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702252244643662869,2537,27059182167,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.218069836497307,-9.76667785644531,-0.530774533748627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244644987839,2538,27068836212,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140141054987907,-9.58574295043945,-0.534120082855225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244646373378,2539,27079288005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0899862051010132,-9.54008769989014,-0.589151978492737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244648192816,2540,27091224193,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.143491208553314,-9.65078926086426,-0.608336687088013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244650246503,2541,27099171876,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.210574448108673,-9.80032062530518,-0.622884631156921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244652266096,2542,27109117746,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18642783164978,-9.7567949295044,-0.629993915557861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244654345219,2543,27118520736,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.166837766766548,-9.59216594696045,-0.563945412635803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244656293980,2544,27128666877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.149747908115387,-9.52768516540527,-0.565775692462921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244658134504,2545,27139357566,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203000545501709,-9.66536617279053,-0.576391279697418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244660079546,2546,27148275136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.277261197566986,-9.70327949523926,-0.502638339996338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244661647302,2547,27158395528,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.263435363769531,-9.52780628204346,-0.47433552145958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244663055514,2548,27168558359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.230600267648697,-9.46971321105957,-0.448657661676407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244664675503,2549,27178607940,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.276128470897675,-9.5486421585083,-0.485541194677353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244666396224,2550,27188018321,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35496124625206,-9.69202709197998,-0.516685545444489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244668290384,2551,27199184656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.383333921432495,-9.75279331207276,-0.52434641122818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244669849843,2552,27209303617,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.365005433559418,-9.66986083984375,-0.475330919027329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244671167169,2553,27219050407,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.375020742416382,-9.69486331939697,-0.43722078204155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244672940349,2554,27229152202,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.344152420759201,-9.86391544342041,-0.462799370288849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
