%time,field.x,field.y,field.z
1701935961903620656,-0.8955396967366974,-0.5545517504825279,-0.002266497958226175
1701935961906228941,-0.8955560193439838,-0.5545846024867461,-0.0022993380837246277
1701935961908509167,-0.8955702504905184,-0.554613272692578,-0.0023279874855044016
1701935961910226082,-0.8955809247523309,-0.5546348169069449,-0.0023495162945037103
1701935961912176945,-0.8955930121398968,-0.554659257792253,-0.002373942242712916
1701935961913854570,-0.8956033790340865,-0.5546802505508361,-0.0023949225423742313
1701935961915829566,-0.8956155507711705,-0.554704931804696,-0.0024195900186675836
1701935961917793019,-0.8956276189666006,-0.5547294375893261,-0.0024440839638033593
1701935961919524588,-0.895638241392796,-0.554751031475565,-0.0024656690387961674
1701935961921322762,-0.89564925648347,-0.5547734420111626,-0.002488072010348223
1701935961923090391,-0.8956600735952319,-0.5547954597396966,-0.002510078281535467
1701935961924706857,-0.8956699468629108,-0.5548155705491902,-0.0025301729183412882
1701935961927128176,-0.8956846702712529,-0.5548456209655095,-0.002560190612650757
1701935961929437571,-0.8956986176238306,-0.5548741775036014,-0.002588702999726924
1701935961931796589,-0.8957127262698992,-0.5549031974437852,-0.0026176715234167537
1701935961933410429,-0.8957222884167358,-0.5549229625205584,-0.002637404410900093
1701935961935435959,-0.8957341988283265,-0.5549476849629158,-0.0026620935950998482
1701935961938104131,-0.8957497704116039,-0.5549801520243971,-0.0026945383130525104
1701935961940617627,-0.8957643766723058,-0.5550106970231281,-0.0027250799946375226
1701935961942271040,-0.8957739786508663,-0.5550307871137391,-0.002745166132662077
1701935961944524715,-0.8957870472378497,-0.5550581416305967,-0.002772503759075486
1701935961946548486,-0.8957987347134626,-0.5550826495758097,-0.00279699010872157
1701935961948782325,-0.8958115648227947,-0.5551096318464105,-0.00282395126611729
1701935961950882710,-0.8958235648126348,-0.5551349445735189,-0.002849253508635398
1701935961952750266,-0.8958342067576416,-0.5551574337847898,-0.002871743592144539
1701935961954443184,-0.89584385525349,-0.5551778300779914,-0.002892147991558326
1701935961956403402,-0.895855054577701,-0.5552014766646635,-0.002915801931912401
1701935961959114432,-0.8958705801625623,-0.5552342022315775,-0.002948525469310416
1701935961962026334,-0.8958872669806418,-0.5552693627092349,-0.002983689110057883
1701935961964565282,-0.8959018329597774,-0.5553000488077982,-0.003014391606806356
1701935961966802993,-0.8959147145730153,-0.555327144491298,-0.0030415026476400173
1701935961969343005,-0.8959293858964437,-0.5553579409796631,-0.0030723084967067644
1701935961971415618,-0.8959413808683205,-0.555383088082589,-0.0030974581068668417
1701935961973454661,-0.8959531887520498,-0.5554078334032524,-0.0031222036757477633
1701935961975437803,-0.8959646720804105,-0.5554318994720733,-0.0031462722511365407
1701935961977884979,-0.8959788514135646,-0.5554616093505239,-0.003175986729300169
1701935961980156360,-0.8959920261423832,-0.555489195293144,-0.0032035703057044303
1701935961982170380,-0.8960037035387531,-0.5555136440318689,-0.00322801102193743
1701935961984379299,-0.8974750621018383,-0.552285198186733,-3.789274430690548e-09
1701935961986715852,-0.8975718056772802,-0.5521883222628613,9.688301821230978e-05
1701935961988976256,-0.8976198605723742,-0.5521400830626783,0.0001451375474095107
1701935961992786267,-0.8977007108497458,-0.5520586137047527,0.00022665265892578358
1701935961995131888,-0.8977503724618605,-0.5520083216460933,0.0002769868103234374
1701935961996667279,-0.8977828116038281,-0.5519753311877303,0.00031001157390336343
1701935961998999763,-0.8978319537650917,-0.5519250716078054,0.0003603300503244968
1701935962001156565,-0.8978772284148343,-0.5518784300706869,0.0004070265595279557
1701935962002918164,-0.8979140910297053,-0.5518402172408388,0.0004452802661434581
1701935962004799980,-0.8979533623050182,-0.5517992944499,0.0004862472075352719
1701935962006224102,-0.897983008640202,-0.5517682530841641,0.0005173231142021616
1701935962008339975,-0.8980269374139767,-0.5517220238447296,0.0005635990117264791
